All calculations,POM,SDOM,CHO,TOT,TIS,MIL,ING,MOL,PAU,RIO,ZHO,PASC,DCER,SRAF,SROS,QUEV,ESM,AGOY,MSFO,SOP,PAU_M,MAZ,EGUA,CCS,MLW,JAM,COL_G,AGOY-SFRA_G,MSFO_G,SOP_G,MOL_G,MAZ_G,EGUA_G,CCS_G,MLW_G,ESM_G
"Time in s","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u."
-0.100000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
-0.090000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
-0.080000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
-0.070000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,1.000000
-0.060000,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999981,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,59.999983,1.000000,0.999999,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,1.000000
-0.050000,59.999965,59.999965,59.999965,59.999965,59.999965,59.999966,59.999964,59.999966,59.999968,59.999965,59.999966,59.999965,59.999966,59.999964,59.999965,59.999965,59.999967,59.999956,59.999968,59.999968,59.999969,59.999968,59.999968,59.999959,59.999967,59.999965,1.000000,0.999998,1.000000,1.000000,1.000000,1.000000,1.000000,0.999997,1.000000,1.000000
-0.040000,59.999941,59.999942,59.999943,59.999942,59.999942,59.999944,59.999940,59.999943,59.999950,59.999943,59.999944,59.999943,59.999943,59.999940,59.999941,59.999943,59.999947,59.999927,59.999949,59.999948,59.999952,59.999948,59.999949,59.999926,59.999948,59.999941,1.000000,0.999997,1.000000,1.000000,1.000000,1.000000,1.000000,0.999996,1.000000,1.000000
-0.030000,59.999912,59.999914,59.999915,59.999914,59.999913,59.999917,59.999911,59.999916,59.999928,59.999915,59.999917,59.999916,59.999916,59.999910,59.999913,59.999915,59.999922,59.999890,59.999927,59.999924,59.999931,59.999925,59.999925,59.999883,59.999924,59.999912,1.000000,0.999995,1.000000,1.000000,1.000000,1.000000,1.000000,0.999994,1.000000,1.000000
-0.020000,59.999877,59.999881,59.999883,59.999880,59.999879,59.999885,59.999876,59.999884,59.999902,59.999882,59.999885,59.999884,59.999884,59.999874,59.999879,59.999882,59.999893,59.999846,59.999901,59.999895,59.999908,59.999897,59.999898,59.999831,59.999897,59.999878,1.000000,0.999993,1.000000,1.000000,1.000000,1.000000,1.000000,0.999992,1.000000,1.000000
